,country,state,category_name,site_id,category,title,price,original_price,available_quantity,sold_quantity,condition,accepts_mercadopago,shipping_state,order_backend,tags
0,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Faro Trasero W204,Accesorios para Vehículos,1300000.0,,1,1,used,False,False,1,['good_quality_picture']
1,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Amortiguador Delantero,Accesorios para Vehículos,480000.0,,1,1,new,False,False,2,['good_quality_picture']
2,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,"Bomba De Agua E46, E39 X5 E53",Accesorios para Vehículos,350000.0,,1,1,new,False,False,3,['good_quality_picture']
3,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Casco Athos Helmets Honor Modular Negro Matte,Accesorios para Vehículos,750000.0,,1,0,new,False,True,4,"['dragged_bids_and_visits', 'good_quality_picture']"
4,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Casco Mt Helmets Thunder 3 Sv Trace Negro Con Rojo Mate,Accesorios para Vehículos,690000.0,,50,0,new,False,True,5,"['dragged_bids_and_visits', 'good_quality_picture']"
5,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Scanner Camiones Scania Vci3 Originale + Laptop,Accesorios para Vehículos,1100.0,,1,0,new,False,True,6,"['dragged_bids_and_visits', 'good_quality_picture']"
6,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Casco Mt Helmets Thunder 3 Sv Board Mate Negro Con Blanco,Accesorios para Vehículos,690000.0,,250,0,new,False,True,7,"['dragged_bids_and_visits', 'good_quality_picture']"
7,Paraguay,San Lorenzo,Accesorios para Vehículos,MPY,Wolsvagen Sedan 2017 ,Accesorios para Vehículos,45000000.0,,1,0,new,False,False,8,['good_quality_picture']
8,Paraguay,No_available,Accesorios para Vehículos,MPY,Yamaha 115hp 4 Stroke Outboard Motor Boat/engine,Accesorios para Vehículos,6500.0,,100,0,new,False,False,9,['good_quality_picture']
9,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Casco Mt Helmets Targo Joker Gloss - Pearl White,Accesorios para Vehículos,690000.0,,1,0,new,False,True,10,"['dragged_bids_and_visits', 'good_quality_picture']"
10,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Direccion Rotula Barra De Acoplamiento (precap),Accesorios para Vehículos,150000.0,,1,0,new,False,False,11,['good_quality_picture']
11,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Casco Athos Helmets Honor Racetrack Modular Negromate Y Gris,Accesorios para Vehículos,750000.0,,1,0,new,False,True,12,"['dragged_bids_and_visits', 'good_quality_picture']"
12,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Intercambiador De Aceite,Accesorios para Vehículos,750000.0,,1,0,new,False,False,13,['good_quality_picture']
13,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Casco Athos Helmets Honor Racetrack Modular Gris Mate,Accesorios para Vehículos,750000.0,,1,1,new,False,True,14,"['dragged_bids_and_visits', 'good_quality_picture']"
14,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Torreta Amortiguador Delantero ,Accesorios para Vehículos,450000.0,,1,0,new,False,False,15,['good_quality_picture']
15,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Bomba Hidráulica Mercedes ,Accesorios para Vehículos,1200000.0,,1,0,new,False,False,16,['good_quality_picture']
16,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Casco Mt Helmets Targo Doppler A0 Rojo Fluor Mate,Accesorios para Vehículos,590000.0,,1,0,new,False,True,17,"['dragged_bids_and_visits', 'good_quality_picture']"
17,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Casco Mt Helmets Thunder 3 Sv Board Mate Amarillo Con Negro,Accesorios para Vehículos,690000.0,,1,1,new,False,True,18,"['dragged_bids_and_visits', 'good_quality_picture']"
18,Paraguay,Presidente Franco,Accesorios para Vehículos,MPY,Estator Fazer 250 Lander,Accesorios para Vehículos,257000.0,,1,0,new,False,True,19,['poor_quality_picture']
19,Paraguay,Presidente Franco,Accesorios para Vehículos,MPY,Kit Cilindro Biz 125,Accesorios para Vehículos,253000.0,,50,0,new,False,True,20,['good_quality_picture']
20,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Bomba De Combustible Externo,Accesorios para Vehículos,600000.0,,1,0,new,False,False,21,['good_quality_picture']
21,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Scanner Camiones Scania Vci3 Originale ,Accesorios para Vehículos,500.0,,1,1,new,False,True,22,"['dragged_bids_and_visits', 'good_quality_picture']"
22,Paraguay,Ciudad del Este,Accesorios para Vehículos,MPY,Comando Central Levanta Vidrio,Accesorios para Vehículos,550000.0,,1,0,new,False,False,23,['good_quality_picture']
